cov1	cov2
1	4.13937822637081
1	4.38833427368264
0	4.54245166215586
0	5.91790647383991
0	5.63222328068838
1	4.59908906080344
1	5.59312842593308
1	4.74143860667146
1	6.62163960457867
0	3.94579227007284
1	6.67849165008272
1	3.5784586875534
0	6.5625606812793
0	5.59639645122294
1	5.42251531152131
0	3.90359136430719
1	6.33644486715612
0	5.7208771095106
0	6.86685660766625
1	5.72303994976214
0	5.80516813992068
1	6.81296205927605
0	4.32470937170214
1	6.03603378733948
1	4.47710658272002
1	4.88813723849185
1	5.20859131430919
1	5.09570659060822
1	5.57575881262828
0	5.39455793448794
0	4.50812727793863
1	3.08146797118905
1	3.69946140643588
1	5.63828229087578
0	4.30587994726495
0	3.2974837186663
1	3.1503069532663
0	4.30132516951661
0	6.49426559189873
1	3.78571928437758
0	4.85785065640246
0	3.86441588853424
1	4.42380580610039
0	4.3978337560814
1	6.04184836388699
0	3.93546884040854
1	3.35223346424067
1	4.97843070016696
1	4.09050949090742
1	4.52699117868798
1	6.07905237553151
1	6.14269429830089
1	4.11312838637067
0	6.1267488690899
0	2.93908802781884
0	5.05602906630419
1	4.88683852919567
1	5.50163084741271
0	3.76904748169541
1	5.61792772671247
1	7.46401615192773
1	4.80695545887034
1	4.86670356824404
1	4.15005042620279
1	4.87878641076574
1	5.34533466091496
1	6.3192325466831
1	4.73837508691606
1	4.95549446768934
0	5.74458302308583
1	6.20961324316584
1	5.68078698338933
1	6.78890271170195
1	5.96513404340932
0	5.69289072602566
0	6.43415016061308
0	4.75480429026802
0	3.37014128886844
1	4.55724210259202
1	6.00420780526893
0	5.37168363811968
0	3.23069905601172
0	3.79377703465405
0	6.17953033515492
1	4.66523314566067
1	4.11936412632424
0	5.80102828057211
1	5.59256788607342
1	4.56354856412824
0	5.40869302591004
0	4.52923532620694
0	5.87681834048402
0	3.36723383122277
0	5.22407923949061
0	5.01800734776391
1	5.10264427983831
0	5.46970634561431
0	5.86633259539891
0	4.41036733933486
1	3.61811292944612
1	4.46599101278047
0	6.30007412794046
0	4.39135364567268
1	5.28915400849109
0	5.68234420285334
0	5.99823592481133
0	6.66573203579086
1	4.98314262475764
0	6.78528839592195
1	6.33164468342641
0	4.51673597733242
1	7.25765389292165
0	4.559593027637
1	3.50425103345801
0	5.23150041272552
0	5.32532304348979
